"Municipal key figures"

"Region 2019","Degree of urbanisation, %, 2018","Population, 2018","Population change from the previous year, %, 2018","Share of persons aged under 15 of the population, %, 2018","Share of persons aged 15 to 64 of the population, %, 2018","Share of persons aged over 64 of the population, %, 2018","Share of Swedish-speakers of the population, %, 2018","Share of foreign citizens of the population, %, 2018","Excess of births, persons, 2018","Intermunicipal migration gain/loss, persons, 2018","Number of families, 2018","Number of household-dwelling units, 2018","Share of household-dwelling units living in terraced houses and detached houses, %, 2018","Share of household-dwelling units living in rental dwellings, %, 2018","Share of persons aged 15 or over with at least upper secondary qualifications, %, 2018","Share of persons aged 15 or over with tertiary level qualifications, %, 2018","Employed labour force resident in the area, 2017","Employment rate, %, 2017","Share of persons working in their municipality of residence, %, 2017","Proportion of the unemployed among the labour force, %, 2017","Proportion of pensioners of the population, %, 2017","Economic dependency ratio, 2017","Number of workplaces in the area, 2017","Share of workplaces in primary production, %, 2017","Share of workplaces in secondary production, %, 2017","Share of workplaces in services, %, 2017","Workplace self-sufficiency, 2017","Annual contribution margin, EUR per capita, 2018","Loan stock, EUR per capita, 2018","Group loan stock, EUR per capita, 2018","Educational and cultural activities, total, operating net costs, EUR per capita, 2018","Social and health care activities, total, operating net costs, EUR per capita, 2018"
"Uusimaa",95.5,1671024,0.9,16.6,66.0,17.4,7.9,8.5,3906,6896,437515,802417,24.3,39.5,74.1,38.9,775979,73.6,58.0,9.5,20.1,113.4,804255,0.5,15.9,82.3,103.6,722.8,2637.7,7893.0,2124.6,2888.8
"Southwest Finland",85.4,478582,0.2,15.0,62.1,22.9,5.7,4.4,-1015,900,128238,239941,37.9,32.1,73.2,31.2,203162,70.9,59.0,10.9,26.7,135.1,198593,2.9,23.8,71.9,97.8,112.8,3160.9,5335.6,1895.2,3357.1
"Satakunta",83.3,218624,-0.8,14.8,58.6,26.6,0.4,2.8,-1138,-1176,60132,109902,54.4,26.1,70.4,25.9,87665,70.1,68.7,11.5,30.8,151.4,87415,3.7,29.0,66.1,99.7,151.7,2233.5,4220.6,1801.2,3564.7
"Kanta-Häme",82.3,171364,-0.8,15.5,59.8,24.6,0.4,3.0,-658,-760,46670,85046,46.4,27.1,71.8,28.1,71211,71.5,55.6,10.4,28.5,142.5,63895,3.5,25.6,69.7,89.7,263.1,3221.2,5127.3,1758.1,3377.4
"Pirkanmaa",88.4,515095,0.6,16.0,62.7,21.3,0.4,3.0,-334,2621,136820,256522,34.7,34.3,75.7,32.7,215462,69.8,61.5,11.8,25.2,137.7,211114,2.1,23.2,73.5,98.0,248.3,2731.5,5557.2,1994.5,3258.2
"Päijät-Häme",88.2,200629,-0.3,14.7,59.4,25.9,0.4,3.5,-792,-238,53562,103829,36.2,33.6,70.3,26.8,78409,67.9,66.2,14.5,29.9,156.6,74987,2.7,27.2,68.7,95.6,367.8,4965.9,7227.6,1782.7,3365.9
"Kymenlaakso",87.2,173388,-1.2,13.6,59.0,27.4,0.7,3.7,-1229,-1157,46841,90040,46.2,28.8,71.1,25.7,65907,65.9,76.0,15.2,32.4,166.3,64171,3.0,22.5,73.2,97.4,103.5,3974.9,6639.9,1940.1,3912.1
"South Karelia",83.9,128756,-0.9,13.6,59.7,26.8,0.2,3.7,-805,-698,34623,67224,46.6,30.7,71.5,27.2,49807,66.3,74.1,14.3,31.3,160.7,48925,3.4,23.7,71.7,98.2,267.3,2537.2,6284.7,1709.3,3536.6
"South Savo",70.9,144615,-1.8,12.8,57.1,30.1,0.2,2.2,-1285,-1543,39204,75346,49.5,28.2,70.5,25.5,54817,66.8,82.7,13.0,35.0,168.5,54040,7.4,21.1,70.2,98.6,166.1,3530.4,7027.3,1739.9,4128.1
"North Savo",76.5,245602,-0.4,14.8,60.7,24.5,0.1,2.1,-918,-436,66299,124110,42.1,32.2,74.0,28.1,97710,67.5,74.4,12.1,29.8,152.4,96712,5.7,20.8,72.2,99.0,293.7,2971.9,7208.6,1896.9,3767.0
"North Karelia",72.9,162240,-0.5,14.1,60.3,25.6,0.1,2.3,-839,-187,43182,83389,49.4,31.4,73.5,26.2,60451,63.5,71.5,16.1,30.6,169.6,59885,5.6,22.9,70.2,99.1,359.9,2288.0,4906.7,1816.5,3569.9
"Central Finland",80.6,275521,-0.2,16.0,61.2,22.8,0.2,2.2,-709,-99,72914,136963,41.9,33.5,74.5,29.9,108650,66.8,73.4,14.1,27.0,154.1,106651,3.6,22.3,72.8,98.2,322.3,2839.8,7020.5,1841.5,3334.0
"South Ostrobothnia",73.1,189715,-0.6,16.7,58.6,24.7,0.3,1.7,-563,-906,52147,89071,61.3,24.1,71.1,25.4,77074,71.9,71.9,9.4,29.2,147.7,76000,7.9,25.7,65.1,98.6,237.5,3850.6,7267.6,1949.4,3619.3
"Ostrobothnia",84.0,180794,-0.1,17.3,60.0,22.7,49.5,5.3,-35,-739,49675,83067,53.5,27.0,72.2,30.8,78600,75.3,66.4,7.5,25.5,130.2,79180,5.5,30.2,63.2,100.7,257.9,3477.0,6186.7,2262.9,3418.1
"Central Ostrobothnia",78.8,68437,-0.5,18.9,58.3,22.8,9.0,2.1,50,-501,18742,30406,61.9,25.5,70.7,25.4,27937,72.7,80.5,9.0,26.4,146.2,28030,7.5,22.6,68.7,100.3,213.9,4667.6,8497.3,2018.4,3598.2
"North Ostrobothnia",83.7,412161,0.1,19.6,61.3,19.1,0.2,2.1,650,-1129,106690,189442,47.9,31.3,75.1,29.8,162441,67.7,75.9,12.7,23.6,153.5,160581,4.3,23.5,71.0,98.9,243.4,3659.2,5149.7,2138.4,3308.3
"Kainuu",74.4,73061,-1.2,14.1,58.5,27.5,0.1,1.8,-473,-563,19813,36908,50.7,27.9,72.5,24.9,27345,65.1,80.5,14.7,33.4,170.5,27184,5.9,18.5,74.5,99.4,7.7,3252.9,7948.2,2340.3,4341.1
"Lapland",77.9,178522,-0.4,15.1,60.3,24.6,0.3,2.3,-771,-355,47391,87868,53.0,30.8,73.8,26.7,70358,67.2,80.9,13.5,29.8,154.7,70196,4.2,19.7,74.3,99.8,115.2,2978.1,4889.5,2000.7,4066.0
"Åland",62.8,29789,1.0,16.6,61.2,22.2,86.8,11.4,8,70,8223,14008,63.0,28.2,68.8,28.8,14745,83.1,50.1,3.7,23.3,100.0,15916,3.4,13.1,80.3,107.9,341.0,1387.3,2758.4,2473.9,1824.0
